id,year,title,entry,phylum,class,order,genus,match_method,confidence,rationale
506,2011,KinectFusion: real-time 3D reconstruction and interaction using a moving depth camera,"Izadi, Shahram, Kim, David, Hilliges, Otmar, Molyneaux, David, Newcombe, Richard, Kohli, Pushmeet, Shotton, Jamie, Hodges, Steve, Freeman, Dustin, Davison, Andrew, et al. 2011. KinectFusion: real-time 3D reconstruction and interaction using a moving depth camera. Pages 559-568 of: ACM Symp. on User interface software and technology.",Map Representations,Dense Geometric Maps,Range-Derived Maps,Occupancy Grids,codex_context_semantic,0.66,"Cited in dense mapping foundations. Strongest Handbook context: 5.2 Foundations of Dense Mapping. Genus label: Occupancy Grids (codex_context_genus, score=19)."
507,2017,Globally Optimal Object Pose Estimation in Point Clouds with Mixed-Integer Programming,"Izatt, G., Dai, H., and Tedrake, R. 2017. Globally Optimal Object Pose Estimation in Point Clouds with Mixed-Integer Programming. In: Intl. Symp. of Robotics Research (ISRR).",Back-End Optimization & Inference,Robust Back-End,Outlier-Robust Optimization,Pairwise Consistency,codex_context_semantic,0.66,"Cited in robustness chapter further-reading context. Strongest Handbook context: 3.4 Further Readings & Recent Trends. Genus label: Pairwise Consistency (codex_context_genus, score=58)."
508,2024,Optimal transport aggregation for visual place recognition,"Izquierdo, Sergio, and Civera, Javier. 2024. Optimal transport aggregation for visual place recognition. Pages 17658-17668 of: IEEE Conf. on Computer Vision and Pattern Recognition (CVPR).",Measurement Front-End,Place Recognition and Loop Closure,Place Recognition,Visual Place Recognition,codex_context_semantic,0.82,"Title is primarily about place recognition / loop closure. Genus label: Visual Place Recognition (codex_context_genus, score=45)."
509,2017,Fast Odometry and Scene Flow from RGB-D Cameras based on Geometric Clustering,"Jaimez, M., Kerl, C., Gonzalez-Jimenez, J., and Cremers, D. 2017. Fast Odometry and Scene Flow from RGB-D Cameras based on Geometric Clustering. In: Proc. of the IEEE Int. Conf. on Robotics and Automation (ICRA).",Map Representations,Dynamic and Deformable Maps,Dynamic SLAM Maps,Short-Term Dynamic Objects,codex_context_semantic,0.66,"Cited in short-term dynamic SLAM context. Strongest Handbook context: 15.2 Short-term Dynamics and Dynamic SLAM. Genus label: Short-Term Dynamic Objects (codex_context_genus, score=60)."
510,2023,RaPlace: Place Recognition for Imaging Radar using Radon Transform and Mutable Threshold,"Jang, Hyesu, Jung, Minwoo, and Kim, Ayoung. 2023. RaPlace: Place Recognition for Imaging Radar using Radon Transform and Mutable Threshold. Pages 11194-11201 of: IEEE/RSJ Intl. Conf. on Intelligent Robots and Systems (IROS).",Measurement Front-End,Place Recognition and Loop Closure,Place Recognition,Radar Place Recognition,codex_context_semantic,0.9,"Cited in radar place recognition context. Strongest Handbook context: 9.3.3 Descriptor-based Radar Place Recognition. Genus label: Radar Place Recognition (codex_context_genus, score=45)."
511,2020,slam: Dense slam meets automatic differentiation,"Jatavallabhula, Krishna Murthy, Iyer, Ganesh, and Paull, Liam. 2020. slam: Dense slam meets automatic differentiation. Pages 2130-2137 of: IEEE Intl. Conf. on Robotics and Automation (ICRA). IEEE.",Problem & System Context,Historical and Scope Framing,SLAM Eras,Spatial AI Era,codex_context_fallback,0.42,"No reliable citation section was recovered; retained parser seed as low-confidence fallback. Genus label: Spatial AI Era (codex_context_genus, score=3)."
512,2023,Conceptfusion: Open-set multimodal 3d mapping,"Jatavallabhula, Krishna Murthy, Kuwajerwala, Alihusein, Gu, Qiao, Omama, Mohd, Chen, Tao, Maalouf, Alaa, Li, Shuang, Iyer, Ganesh, Saryazdi, Soroush, Keetha, Nikhil, et al. 2023. Conceptfusion: Open-set multimodal 3d mapping. arXiv preprint.","Learning, Semantics & Spatial AI",Foundation and Open-World Spatial AI,Open-World Mapping,Open-Set Object Maps,codex_context_semantic,0.9,"Cited in open-world mapping context. Strongest Handbook context: 17.3 Open-World Mapping  501. Genus label: Open-Set Object Maps (codex_context_genus, score=22)."
513,2019,Dynamic Locomotion on Slippery Ground,"Jenelten, Fabian, Hwangbo, Jemin, Tresoldi, Fabian, Bellicoso, C. Dario, and Hutter, Marco. 2019. Dynamic Locomotion on Slippery Ground. IEEE Robotics and Automation Letters, 4(4), 4170-4176.",Measurement Front-End,Odometry Front-End,Preintegration and Propagation,Leg Odometry Propagation,codex_context_semantic,0.66,"Cited in contact estimation context. Strongest Handbook context: 12.3.4 From Joint Torque Sensing. Genus label: Leg Odometry Propagation (codex_context_genus, score=38)."
514,2022,StructMDC: Mesh-refined unsupervised depth completion leveraging structural regularities from visual SLAM,"Jeon, Jinwoo, Lim, Hyunjun, Seo, Dong-Uk, and Myung, Hyun. 2022. StructMDC: Mesh-refined unsupervised depth completion leveraging structural regularities from visual SLAM. IEEE Robotics and Automation Letters, 7(3), 6391-6398.","Learning, Semantics & Spatial AI",Learning for Classical SLAM Components,Learned Geometry,Optical Flow,codex_context_semantic,0.66,"Cited in deep learning for depth/camera pose. Strongest Handbook context: 13.1 Deep Learning for Depth and Camera Pose  373. Genus label: Optical Flow (codex_context_genus, score=42)."
515,2019,Complex urban dataset with multi-level sensors from highly diverse urban environments,"Jeong, Jinyong, Cho, Younggun, Shin, Young-Sik, Roh, Hyunchul, and Kim, Ayoung. 2019. Complex urban dataset with multi-level sensors from highly diverse urban environments. Intl. J. of Robotics Research, 38(6), 642-657.","Robustness, Evaluation & Operations",Evaluation,Datasets and Benchmarks,Visual SLAM Datasets,codex_context_semantic,0.82,"Title is primarily a dataset/benchmark contribution. Genus label: Visual SLAM Datasets (codex_context_genus, score=3)."
516,2022,Concurrent Training of a Control Policy and a State Estimator for Dynamic and Robust Legged Locomotion,"Ji, Gwanghyeon, Mun, Juhyeok, Kim, Hyeongjun, and Hwangbo, Jemin. 2022. Concurrent Training of a Control Policy and a State Estimator for Dynamic and Robust Legged Locomotion. IEEE Robotics and Automation Letters, 7(2), 4630-4637.",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Leg Odometry,Legged State Estimation,codex_context_semantic,0.66,"Cited in leg odometry further-reading context. Strongest Handbook context: 12.6 Further Readings & Recent Trends. Genus label: Legged State Estimation (codex_context_genus, score=25)."
517,2021,Bilevel optimization: Convergence analysis and enhanced design,"Ji, Kaiyi, Yang, Junjie, and Liang, Yingbin. 2021. Bilevel optimization: Convergence analysis and enhanced design. Pages 4882-4892 of: Intl. Conf. on Machine Learning (ICML). PMLR.",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Differentiable Optimization,Differentiating Through Least Squares,codex_context_semantic,0.66,"Cited in differentiable optimization chapter. Strongest Handbook context: 4.2 Differentiation Through Nonlinear Least Squares. Genus label: Differentiating Through Least Squares (codex_context_genus, score=9)."
518,2014,Caffe: Convolutional architecture for fast feature embedding,"Jia, Yangqing, Shelhamer, Evan, Donahue, Jeff, Karayev, Sergey, Long, Jonathan, Girshick, Ross, Guadarrama, Sergio, and Darrell, Trevor. 2014. Caffe: Convolutional architecture for fast feature embedding. Pages 675-678 of: 22nd ACM international conference on Multimedia.",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Differentiable Optimization,Implicit Differentiation,codex_context_semantic,0.66,"Cited in differentiable optimization chapter. Strongest Handbook context: 4.4 Numerical Challenges of Automatic Differentiation and Modern Libraries 117. Genus label: Implicit Differentiation (codex_context_genus, score=3)."
519,2021,iMHS: An incremental multi-hypothesis smoother,"Jiang, Fan, Agrawal, Varun, Buchanan, Russell, Fallon, Maurice, and Dellaert, Frank. 2021. iMHS: An incremental multi-hypothesis smoother. arXiv preprint.",Map Representations,Semantic and Structured Maps,Metric-Semantic Maps,Sparse Semantic Landmarks,codex_context_semantic,0.66,"Cited in sparse metric-semantic representation context. Strongest Handbook context: 16.2 Sparse Metric-Semantic Representations  469. Genus label: Sparse Semantic Landmarks (codex_context_genus, score=6)."
520,2024,RoboEXP: Action-Conditioned Scene Graph via Interactive Exploration for Robotic Manipulation,"Jiang, H., Huang, B., Wu, R., Li, Z., Garg, S., Nayyeri, H., Wang, S., and Li, Y. 2024. RoboEXP: Action-Conditioned Scene Graph via Interactive Exploration for Robotic Manipulation. In: arXiv preprint.",Map Representations,Semantic and Structured Maps,Hierarchical Spatial Maps,3D Scene Graphs,codex_context_semantic,0.82,"Title is about hierarchical/scene-graph map representation. Genus label: 3D Scene Graphs (codex_context_genus, score=61)."
521,2018,Super SloMo: High Quality Estimation of Multiple Intermediate Frames for Video Interpolation,"Jiang, Huaizu, Sun, Deqing, Jampani, Varun, Yang, Ming-Hsuan, LearnedMiller, Erik, and Kautz, Jan. 2018. Super SloMo: High Quality Estimation of Multiple Intermediate Frames for Video Interpolation. Pages 9000-9008 of: IEEE Conf. on Computer Vision and Pattern Recognition (CVPR).","Robustness, Evaluation & Operations",Evaluation,Datasets and Benchmarks,Event SLAM Datasets,codex_context_semantic,0.74,"Cited in event datasets/simulators/benchmarks context. Strongest Handbook context: 10.7.1 Simulators. Genus label: Event SLAM Datasets (codex_context_genus, score=22)."
522,2023,SELVO: A Semantic-Enhanced Lidar-Visual Odometry,"Jiang, Kun, Gao, Shuang, Zhang, Xudong, Li, Jijunnan, Guo, Yandong, Liu, Shijie, Li, Chunlai, and Wang, Jianyu. 2023. SELVO: A Semantic-Enhanced Lidar-Visual Odometry. In: IEEE/RSJ Intl. Conf. on Intelligent Robots and Systems (IROS).",Map Representations,Semantic and Structured Maps,Metric-Semantic Maps,Dense Semantic Maps,codex_context_semantic,0.96,"Cited in dense metric-semantic representation context. Strongest Handbook context: 16.3.1 Point-based and Surfel-based Metric-Semantic SLAM. Genus label: Dense Semantic Maps (codex_context_genus, score=6)."
523,2022,FusionPortable: A Multi-Sensor Campus-Scene Dataset for Evaluation of Localization and Mapping Accuracy on Diverse Platforms,"Jiao, Jianhao, Wei, Hexiang, Hu, Tianshuai, Hu, Xiangcheng, Zhu, Yilong, He, Zhijian, Wu, Jin, Yu, Jingwen, Xie, Xupeng, Huang, Huaiyang, Geng, Ruoyu, Wang, Lujia, and Liu, Ming. 2022. FusionPortable: A Multi-Sensor Campus-Scene Dataset for Evaluation of Localization and Mapping Accuracy on Diverse Platforms. Pages 3851-3856 of: IEEE/RSJ Intl. Conf. on Intelligent Robots and Systems (IROS).","Robustness, Evaluation & Operations",Evaluation,Datasets and Benchmarks,Event SLAM Datasets,codex_context_semantic,0.96,"Cited in event datasets/simulators/benchmarks context. Strongest Handbook context: 10.7 Datasets, Simulators, and Benchmarks              299. Genus label: Event SLAM Datasets (codex_context_genus, score=22)."
524,2000,Real-time 3D motion and structure of point features: a front-end system for vision-based control and interaction,"Jin, Hailin, Favaro, Paolo, and Soatto, Stefano. 2000. Real-time 3D motion and structure of point features: a front-end system for vision-based control and interaction. Pages 778-779 of: IEEE Conf. on Computer Vision and Pattern Recognition (CVPR), vol. 2.",Sensor & Odometry Modalities,Visual SLAM,Visual System Families,Feature-Based Visual SLAM,codex_context_semantic,0.66,"Cited in visual SLAM history/terminology. Strongest Handbook context: 7.1.1 From Photogrammetry to Bundle Adjustment and Visual SLAM. Genus label: Feature-Based Visual SLAM (codex_context_genus, score=6)."
525,2023,Eslam: Efficient dense slam system based on hybrid representation of signed distance fields,"Johari, Mohammad Mahdi, Carta, Camilla, and Fleuret, Fran - cois. 2023. Eslam: Efficient dense slam system based on hybrid representation of signed distance fields. In: IEEE Conf. on Computer Vision and Pattern Recognition (CVPR).",Map Representations,Neural and Differentiable Maps,Neural Implicit Maps,NeRF Maps,codex_context_semantic,0.66,"Cited in NeRF/neural fields context. Strongest Handbook context: 14.2.4 NeRF/Neural Fields for Visual SLAM. Genus label: NeRF Maps (codex_context_genus, score=19)."
526,2024,Continuoustime Trajectory Estimation: A Comparative Study Between Gaussian Process and Spline-based Approaches,"Johnson, J, Mangelson, J, Barfoot, T D, and Beard, R. 2024. Continuoustime Trajectory Estimation: A Comparative Study Between Gaussian Process and Spline-based Approaches.","State, Geometry & Probabilistic Modeling",State Representations,Continuous-Time Trajectories,Gaussian Process Trajectories,codex_context_fallback,0.42,"No reliable citation section was recovered; retained parser seed as low-confidence fallback. Genus label: Gaussian Process Trajectories (codex_context_genus, score=22)."
527,2018,Multimotion visual odometry (MVO): Simultaneous estimation of camera and third-party motions,"Judd, Kevin M, Gammell, Jonathan D, and Newman, Paul. 2018. Multimotion visual odometry (MVO): Simultaneous estimation of camera and third-party motions. Pages 3949-3956 of: IEEE/RSJ Intl. Conf. on Intelligent Robots and Systems (IROS). IEEE.",Map Representations,Dynamic and Deformable Maps,Dynamic SLAM Maps,Short-Term Dynamic Objects,codex_context_semantic,0.66,"Cited in short-term dynamic SLAM context. Strongest Handbook context: 15.2 Short-term Dynamics and Dynamic SLAM                                 427. Genus label: Short-Term Dynamic Objects (codex_context_genus, score=41)."
528,2021,Highly accurate protein structure prediction with AlphaFold,"Jumper, John, Evans, Richard, Pritzel, Alexander, Green, Tim, Figurnov, Michael, Ronneberger, Olaf, Tunyasuvunakool, Kathryn, Bates, Russ, Z - idek, Augustin, Potapenko, Anna, et al. 2021. Highly accurate protein structure prediction with AlphaFold. Nature, 596(7873), 583-589.",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Leg Odometry,Legged State Estimation,codex_context_semantic,0.66,"Cited in leg odometry further-reading context. Strongest Handbook context: 12.6 Further Readings & Recent Trends  357. Genus label: Legged State Estimation (codex_context_genus, score=3)."
529,,(title parse needed),"Jung, Minwoo, Yang, Wooseong, Lee, Dongjae, Gil, Hyeonjae, Kim, Giseop, and Kim, Ayoung. 0. HeLiPR: Heterogeneous LiDAR dataset for interLiDAR place recognition under spatiotemporal variations. Intl. J. of Robotics Research, 0(0), 02783649241242136.",Sensor & Odometry Modalities,LiDAR SLAM,LiDAR System Families,LiDAR-Inertial SLAM,codex_context_semantic,0.66,"Cited in LiDAR SLAM further-reading context. Strongest Handbook context: 8.5 Further Readings & Recent Trends. Genus label: LiDAR-Inertial SLAM (codex_context_genus, score=3)."
530,2023,Towards Long-Term Retrieval-Based Visual Localization in Indoor Environments With Changes,"Kabalar, Julia, Wu, Shun-Cheng, Wald, Johanna, Tateno, Keisuke, Navab, Nassir, and Tombari, Federico. 2023. Towards Long-Term Retrieval-Based Visual Localization in Indoor Environments With Changes. IEEE Robotics and Automation Letters, 8(4), 1975-1982.",Map Representations,Semantic and Structured Maps,Metric-Semantic Maps,Sparse Semantic Landmarks,codex_context_semantic,0.66,"Cited in metric-semantic SLAM further-reading context. Strongest Handbook context: 16.5 Further Readings & Recent Trends. Genus label: Sparse Semantic Landmarks (codex_context_genus, score=3)."
531,2008,iSAM: Incremental Smoothing and Mapping,"Kaess, M., Ranganathan, A., and Dellaert, F. 2008. iSAM: Incremental Smoothing and Mapping. IEEE Trans. Robotics, 24(6), 1365-1378.",Back-End Optimization & Inference,Sparsity and Incrementality,Incremental SLAM,iSAM-style Updates,codex_context_semantic,0.66,"Cited in incremental SLAM context. Strongest Handbook context: 1.7.3 Incremental Smoothing and Mapping. Genus label: iSAM-style Updates (codex_context_genus, score=35)."
532,2011,iSAM2: Incremental Smoothing and Mapping with Fluid Relinearization and Incremental Variable Reordering,"Kaess, M., Johannsson, H., Roberts, R., Ila, V., Leonard, J., and Dellaert, F. 2011 (May). iSAM2: Incremental Smoothing and Mapping with Fluid Relinearization and Incremental Variable Reordering. In: IEEE Intl. Conf. on Robotics and Automation (ICRA).",Back-End Optimization & Inference,Sparsity and Incrementality,Incremental SLAM,iSAM-style Updates,codex_context_fallback,0.42,"No reliable citation section was recovered; retained parser seed as low-confidence fallback. Genus label: iSAM-style Updates (codex_context_genus, score=35)."
533,2015,Simultaneous localization and mapping with infinite planes,"Kaess, Michael. 2015. Simultaneous localization and mapping with infinite planes. Pages 4605-4611 of: IEEE Intl. Conf. on Robotics and Automation (ICRA).",Map Representations,Dense Geometric Maps,Range-Derived Maps,Occupancy Grids,codex_context_semantic,0.66,"Cited in map representation context. Strongest Handbook context: 5.3 Map Representations  129. Genus label: Occupancy Grids (codex_context_genus, score=19)."
534,2012,iSAM2: Incremental smoothing and mapping using the Bayes tree,"Kaess, Michael, Johannsson, Hordur, Roberts, Richard, Ila, Viorela, Leonard, John J, and Dellaert, Frank. 2012. iSAM2: Incremental smoothing and mapping using the Bayes tree. Intl. J. of Robotics Research, 31(2), 216-235.","State, Geometry & Probabilistic Modeling",Factor Graph Modeling,Graphical Model Formulation,Variables and Factors,codex_context_semantic,0.82,"Title is primarily about factor graph modeling. Genus label: Variables and Factors (codex_context_genus, score=54)."
535,2016,Towards a framework for end-to-end control of a simulated vehicle with spiking neural networks,"Kaiser, Jacques, Tieck, J. Camillo Vasquez, Hubschneider, Christian, Wolf, Peter, Weber, Michael, Hoff, Michael, Friedrich, Alexander, Wojtasik, Konrad, Roennau, Arne, Kohlhaas, Ralf, Dillmann, Ru - diger, and Zo - llner, J. Marius. 2016. Towards a framework for end-to-end control of a simulated vehicle with spiking neural networks. Pages 127-134 of: IEEE Int. Conf. on Simulation, Modeling, and Programming for Autonomous Robots (SIMPAR).","Robustness, Evaluation & Operations",Evaluation,Datasets and Benchmarks,Event SLAM Datasets,codex_context_semantic,0.66,"Cited in event datasets/simulators/benchmarks context. Strongest Handbook context: 10.7.1 Simulators. Genus label: Event SLAM Datasets (codex_context_genus, score=22)."
536,2008,Team AnniWay's Autonomous System for the 2007 DARPA Urban Challenge,"Kammel, S., Ziegler, J., Pitzer, B., Werling, M., Gindele, T., Jagzent, D., Schr - oder, J., Thuy, M., Goebl, M., v. Hundelshausen, F., Pink, O., Frese, C., and Stiller, C. 2008. Team AnniWay's Autonomous System for the 2007 DARPA Urban Challenge. J. of Field Robotics, 615-639.",Sensor & Odometry Modalities,LiDAR SLAM,LiDAR Sensing,3D Spinning LiDAR,codex_context_semantic,0.66,"Cited in LiDAR sensing preliminaries. Strongest Handbook context: 8.1 LiDAR Sensing Preliminaries and Categorization. Genus label: 3D Spinning LiDAR (codex_context_genus, score=6)."
537,2006,"A generic camera model and calibration method for conventional, wide-angle, and fish-eye lenses","Kannala, Juho, and Brandt, Sami S. 2006. A generic camera model and calibration method for conventional, wide-angle, and fish-eye lenses. IEEE Trans. Pattern Anal. Machine Intell., 28(8), 1335-1340.",Measurement Front-End,Raw-to-Pseudo Measurement Processing,Feature Extraction,Keypoints and Descriptors,codex_context_semantic,0.74,"Cited in visual SLAM fundamentals / feature processing. Strongest Handbook context: 7.3.1 Camera Model. Genus label: Keypoints and Descriptors (codex_context_genus_default, score=0)."
538,2023,Essential Matrix Estimation using Convex Relaxations in Orthogonal Space,"Karimian, A., and Tron, R. 2023. Essential Matrix Estimation using Convex Relaxations in Orthogonal Space. In: Intl. Conf. on Computer Vision (ICCV).",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Certifiably Optimal SLAM,Semidefinite Relaxation,codex_context_semantic,0.82,"Cited in theoretical properties chapter further-reading context. Strongest Handbook context: 6.3 Further Readings & Recent Trends  179. Genus label: Semidefinite Relaxation (codex_context_genus, score=19)."
539,2024,"The Bare Necessities: Designing Simple, Effective Open-Vocabulary Scene Graphs","Kassab, Christina, Mattamala, Mat - ias, Morin, Sacha, Bu - chner, Martin, Valada, Abhinav, Paull, Liam, and Fallon, Maurice. 2024a. The Bare Necessities: Designing Simple, Effective Open-Vocabulary Scene Graphs. arXiv preprint.",Map Representations,Semantic and Structured Maps,Hierarchical Spatial Maps,3D Scene Graphs,codex_context_semantic,0.82,"Title is about hierarchical/scene-graph map representation. Genus label: 3D Scene Graphs (codex_context_genus, score=25)."
540,2024,Language-extended indoor slam (lexis): A versatile system for realtime visual scene understanding,"Kassab, Christina, Mattamala, Matias, Zhang, Lintong, and Fallon, Maurice. 2024b. Language-extended indoor slam (lexis): A versatile system for realtime visual scene understanding. Pages 15988-15994 of: IEEE Intl. Conf. on Robotics and Automation (ICRA).","Learning, Semantics & Spatial AI",Foundation and Open-World Spatial AI,Open-World Mapping,Open-Set Object Maps,codex_context_semantic,0.74,"Cited in open-world mapping context. Strongest Handbook context: 17.3 Open-World Mapping     509. Genus label: Open-Set Object Maps (codex_context_genus, score=6)."
541,2018,Neural 3d mesh renderer,"Kato, Hiroharu, Ushiku, Yoshitaka, and Harada, Tatsuya. 2018. Neural 3d mesh renderer. Pages 3907-3916 of: IEEE Conf. on Computer Vision and Pattern Recognition (CVPR).",Map Representations,Neural and Differentiable Maps,Neural Implicit Maps,Neural SDF Maps,codex_context_semantic,0.66,"Cited in learnable 3D scene representation context. Strongest Handbook context: 14.1.2 Differentiable Rendering. Genus label: Neural SDF Maps (codex_context_genus, score=3)."
542,2020,Differentiable rendering: A survey,"Kato, Hiroharu, Beker, Deniz, Morariu, Mihai, Ando, Takahiro, Matsuoka, Toru, Kehl, Wadim, and Gaidon, Adrien. 2020. Differentiable rendering: A survey. arXiv preprint.",Map Representations,Semantic and Structured Maps,Metric-Semantic Maps,Sparse Semantic Landmarks,codex_context_semantic,0.66,"Cited in sparse metric-semantic representation context. Strongest Handbook context: 16.2 Sparse Metric-Semantic Representations                461. Genus label: Sparse Semantic Landmarks (codex_context_genus, score=25)."
543,2025,Online Language Splatting,"Katragadda, Saimouli, Wu, Cho-Ying, Guo, Yuliang, Xinyu Huang, Guoquan Huang, and Ren, Liu. 2025. Online Language Splatting. In: arXiv preprint.",Map Representations,Semantic and Structured Maps,Metric-Semantic Maps,Dense Semantic Maps,codex_context_semantic,0.74,"Cited in metric-semantic SLAM further-reading context. Strongest Handbook context: 16.5 Further Readings & Recent Trends. Genus label: Dense Semantic Maps (codex_context_genus, score=6)."
544,2019,Mini Cheetah: A Platform for Pushing the Limits of Dynamic Quadruped Control,"Katz, Benjamin, Carlo, Jared Di, and Kim, Sangbae. 2019. Mini Cheetah: A Platform for Pushing the Limits of Dynamic Quadruped Control. Pages 6295-6301 of: IEEE Intl. Conf. on Robotics and Automation (ICRA).",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Leg Odometry,Legged State Estimation,codex_context_semantic,0.66,"Cited in leg odometry background. Strongest Handbook context: 12.1 Historical Background and Preliminaries  341. Genus label: Legged State Estimation (codex_context_genus, score=19)."
545,2006,Poisson surface reconstruction,"Kazhdan, Michael, Bolitho, Matthew, and Hoppe, Hugues. 2006. Poisson surface reconstruction. Pages 61-70 of: Proceedings of the fourth Eurographics symposium on Geometry processing. Eurographics Association.",Map Representations,Dense Geometric Maps,Dense Reconstruction,Real-Time Dense Reconstruction,codex_context_semantic,0.66,"Cited in map construction / dense reconstruction context. Strongest Handbook context: 5.4.3 Meshes. Genus label: Real-Time Dense Reconstruction (codex_context_genus, score=6)."
546,2021,"Do We Need to Compensate for Motion Distortion and Doppler Effects in Spinning Radar Navigation? IEEE Robotics and Automation Letters, 6(2), 771-778","Keenan Burnett, Angela P. Schoellig, Timothy D. Barfoot. 2021. Do We Need to Compensate for Motion Distortion and Doppler Effects in Spinning Radar Navigation? IEEE Robotics and Automation Letters, 6(2), 771-778.",Measurement Front-End,Odometry Front-End,Frame-to-Frame Motion Estimation,Radar Odometry,codex_context_semantic,0.66,"Cited in radar odometry context. Strongest Handbook context: 9.2.3 Feature-based Odometry. Genus label: Radar Odometry (codex_context_genus, score=42)."
547,2023,Anyloc: Towards universal visual place recognition,"Keetha, Nikhil, Mishra, Avneesh, Karhade, Jay, Jatavallabhula, Krishna Murthy, Scherer, Sebastian, Krishna, Madhava, and Garg, Sourav. 2023. Anyloc: Towards universal visual place recognition. IEEE Robotics and Automation Letters.",Measurement Front-End,Place Recognition and Loop Closure,Place Recognition,Visual Place Recognition,codex_context_semantic,0.82,"Title is primarily about place recognition / loop closure. Genus label: Visual Place Recognition (codex_context_genus, score=45)."
548,2024,Splatam: Splat track & map 3d gaussians for dense rgb-d slam,"Keetha, Nikhil, Karhade, Jay, Jatavallabhula, Krishna Murthy, Yang, Gengshan, Scherer, Sebastian, Ramanan, Deva, and Luiten, Jonathon. 2024. Splatam: Splat track & map 3d gaussians for dense rgb-d slam. Pages 21357-21366 of: IEEE Conf. on Computer Vision and Pattern Recognition (CVPR).",Map Representations,Neural and Differentiable Maps,Gaussian Maps,3D Gaussian Splatting,codex_context_semantic,0.82,"Cited in 3D Gaussian Splatting context. Strongest Handbook context: 14.3.2 Applications of 3D Gaussian Splatting. Genus label: 3D Gaussian Splatting (codex_context_genus, score=93)."
549,2013,Real-time 3d reconstruction in dynamic scenes using point-based fusion,"Keller, Maik, Lefloch, Damien, Lambers, Martin, Izadi, Shahram, Weyrich, Tim, and Kolb, Andreas. 2013. Real-time 3d reconstruction in dynamic scenes using point-based fusion. Pages 1-8 of: Intl. Conf. on 3D Vision (3DV). IEEE.",Map Representations,Dense Geometric Maps,Range-Derived Maps,Point Cloud Maps,codex_context_semantic,0.66,"Cited in map representation context. Strongest Handbook context: 5.3.2 Types of Spatial Abstractions. Genus label: Point Cloud Maps (codex_context_genus, score=42)."
550,2012,Grid-based DBSCAN for clustering extended objects in radar data,"Kellner, Dominik, Klappstein, Jens, and Dietmayer, Klaus. 2012. Grid-based DBSCAN for clustering extended objects in radar data. Pages 365-370 of: IEEE Intelligent Vehicles Symposium (IV).",Measurement Front-End,Odometry Front-End,Frame-to-Frame Motion Estimation,Radar Odometry,codex_context_semantic,0.66,"Cited in radar odometry context. Strongest Handbook context: 9.2.4 Registration-based Odometry. Genus label: Radar Odometry (codex_context_genus, score=42)."
551,2013,Instantaneous ego-motion estimation using Doppler radar,"Kellner, Dominik, Barjenbruch, Michael, Klappstein, Jens, Dickmann, Ju - rgen, and Dietmayer, Klaus. 2013. Instantaneous ego-motion estimation using Doppler radar. Pages 869-874 of: IEEE Intl. Conf. on Intelligent Transportation Systems (ITSC).",Measurement Front-End,Odometry Front-End,Frame-to-Frame Motion Estimation,Radar Odometry,codex_context_semantic,0.74,"Cited in radar odometry context. Strongest Handbook context: 9.2 Radar Odometry                               263. Genus label: Radar Odometry (codex_context_genus, score=42)."
552,2023,3d gaussian splatting for real-time radiance field rendering,"Kerbl, Bernhard, Kopanas, Georgios, Leimku - hler, Thomas, and Drettakis, George. 2023. 3d gaussian splatting for real-time radiance field rendering. ACM Trans. Graph., 42(4), 139-1.",Map Representations,Neural and Differentiable Maps,Neural Implicit Maps,NeRF Maps,codex_context_semantic,0.82,"Cited in NeRF/neural fields context. Strongest Handbook context: 14.2 Neural Radiance Fields (NeRF)  401. Genus label: NeRF Maps (codex_context_genus, score=35)."
553,2013,Dense visual SLAM for RGB-D cameras,"Kerl, Christian, Sturm, Ju - rgen, and Cremers, Daniel. 2013a. Dense visual SLAM for RGB-D cameras. Pages 2100-2106 of: IEEE/RSJ Intl. Conf. on Intelligent Robots and Systems (IROS). IEEE.",Back-End Optimization & Inference,Least-Squares Solvers,Nonlinear Optimization,Gauss-Newton,codex_context_semantic,0.74,"Cited in image alignment / bundle adjustment context. Strongest Handbook context: 7.4 Further Considerations about Image Alignment and BA  211. Genus label: Gauss-Newton (codex_context_genus, score=42)."
554,2013,Robust odometry estimation for RGB-D cameras,"Kerl, Christian, Sturm, Ju - rgen, and Cremers, Daniel. 2013b. Robust odometry estimation for RGB-D cameras. Pages 3748-3754 of: IEEE Intl. Conf. on Robotics and Automation (ICRA). IEEE.",Sensor & Odometry Modalities,Multi-Modal Fusion,Sensor Fusion Architectures,Tightly Coupled Fusion,codex_context_semantic,0.74,"Cited in visual + other modality fusion context. Strongest Handbook context: 7.8 Combining Vision with Other Modalities                    219. Genus label: Tightly Coupled Fusion (codex_context_genus, score=3)."
